Source_File,phone,minTime,maxTime,Preceding Token,Following Token,isWordInitial,Containing Word,Phones Per Second,K,G,B,P,D,T,ʈ,k,g,b,p,d,t,tsʰ,pʲ,tɕʰ,tɕ,ʈʂ,tʰ,kʰ,ʈʂʰ,pʷ,tʷ,ts,pʰ,kʷ,tʲ,tɕʷ
F03B_man_isolated.csv,tʷ,111.33515,111.42515,aw˨˩˦,u˧˥,True,"Interval(111.33515, 111.70515, 读书)",9.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,ts,111.92515,112.12515,e˨˩˦,z̩˥˩,False,"Interval(111.70515, 112.26515, 写字)",7.5230393078803734,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tʰ,113.33175,113.46175,,ow˧˥,True,"Interval(113.33175, 113.73175, 投篮)",11.494252873563159,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,pʲ,113.94175,114.08175,ej˨˩˦,i˧˥,False,"Interval(113.73175, 114.22175, 水平)",12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,ts,114.22175,114.31175,ŋ,ə˨˩˦,True,"Interval(114.22175, 114.79175, 怎么样)",11.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,p,115.87887,115.92887,,j,True,"Interval(115.87887, 116.28887, 表妹)",12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,ʈʂʰ,116.95887,117.11887,i˥˩,u˥,True,"Interval(116.95887, 117.56887, 出国)",11.66666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,k,117.19887,117.28887,u˥,w,False,"Interval(116.95887, 117.56887, 出国)",11.650485436893192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,t,118.9181,118.9781,ŋ,aw˥˩,False,"Interval(118.6181, 119.1281, 想到)",11.428571428571459,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕ,119.1281,119.2181,aw˥˩,ow˥˩,True,"Interval(119.1281, 119.3181, 就)",9.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕ,119.3181,119.3881,ow˥˩,i˨˩˦,True,"Interval(119.3181, 119.7181, 紧张)",10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,ʈʂ,119.5281,119.5981,n,a˥,False,"Interval(119.3181, 119.7181, 紧张)",10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,pʰ,119.9081,120.0381,aj˥˩,a˥˩,False,"Interval(119.7181, 120.2581, 害怕)",10.564935938070295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕʰ,121.64692,121.78692,u˨˩˦,y˥˩,True,"Interval(121.64692, 121.82692, 去)",10.924369747899181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,kʷ,121.82692,121.90692,y˥˩,u˥,True,"Interval(121.82692, 122.23692, 公园)",9.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,pʷ,122.50692,122.61692,n,u˥˩,False,"Interval(122.23692, 122.77692, 散步)",11.915594263182852,,,,,,,,,,,,,,,,,,,,,,,,,,,,
